date,close
2022-01-03,149.7508
2022-01-04,149.4373
2022-01-05,149.2625
2022-01-06,150.9088
2022-01-07,150.6955
2022-01-08,147.3861
2022-01-09,148.1945
2022-01-10,147.6743
2022-01-11,147.2676
2022-01-12,147.5972
2022-01-13,148.1853
2022-01-14,150.8457
2022-01-15,152.4069
2022-01-16,152.7358
2022-01-17,151.1206
2022-01-18,148.8961
2022-01-19,149.5208
2022-01-20,152.5360
2022-01-21,152.7076
2022-01-22,152.5404
2022-01-23,153.8334
2022-01-24,150.5563
2022-01-25,149.9264
2022-01-26,151.1041
2022-01-27,153.1593
2022-01-28,152.6830
2022-01-29,153.6219
2022-01-30,154.2707
2022-01-31,156.1581
2022-02-01,153.6286
2022-02-02,155.0149
2022-02-03,151.5709
2022-02-04,145.6900
2022-02-05,144.4366
2022-02-06,142.5247
2022-02-07,144.4687
2022-02-08,145.9805
2022-02-09,143.3840
2022-02-10,145.2782
2022-02-11,143.1669
2022-02-12,143.0532
2022-02-13,142.4941
2022-02-14,142.8099
2022-02-15,144.6350
2022-02-16,146.0923
2022-02-17,146.9321
2022-02-18,148.4381
2022-02-19,149.5777
2022-02-20,148.2457
2022-02-21,146.7246
2022-02-22,145.7637
2022-02-23,146.9283
2022-02-24,146.4505
2022-02-25,151.6548
2022-02-26,149.8669
2022-02-27,147.4716
2022-02-28,149.2452
2022-03-01,152.5029
2022-03-02,153.7360
2022-03-03,155.7403
2022-03-04,159.1502
2022-03-05,159.0053
2022-03-06,155.6910
2022-03-07,154.5262
2022-03-08,156.8122
2022-03-09,153.4948
2022-03-10,153.6487
2022-03-11,154.3092
2022-03-12,153.6559
2022-03-13,155.4006
2022-03-14,156.8321
2022-03-15,162.3716
2022-03-16,163.9627
2022-03-17,162.5459
2022-03-18,161.2574
2022-03-19,159.3266
2022-03-20,161.6821
2022-03-21,160.3882
2022-03-22,160.2994
2022-03-23,162.1812
2022-03-24,160.5023
2022-03-25,159.8756
2022-03-26,155.5399
2022-03-27,153.0921
2022-03-28,151.8649
2022-03-29,152.8879
2022-03-30,155.7014
2022-03-31,155.7362
2022-04-01,156.4246
2022-04-02,156.8969
2022-04-03,159.5283
2022-04-04,161.7457
2022-04-05,162.4906
2022-04-06,160.1079
2022-04-07,162.3575
2022-04-08,163.3667
2022-04-09,166.4550
2022-04-10,166.4635
2022-04-11,171.4236
2022-04-12,170.5865
2022-04-13,174.7481
2022-04-14,175.1372
2022-04-15,173.8685
2022-04-16,171.0124
2022-04-17,170.7105
2022-04-18,174.4405
2022-04-19,176.6639
2022-04-20,178.5777
2022-04-21,172.3028
2022-04-22,174.2265
2022-04-23,175.7663
2022-04-24,174.4043
2022-04-25,172.8502
2022-04-26,172.9306
